ID_CONVOCATORIA,NME_CONVOCATORIA,ANO_CONVO,ID_PRODUCTO_PD,NME_CLASE_PD,NME_TIPO_MEDICION_PD,NME_TIPOLOGIA_PD,ID_TIPO_PD_MED,NME_CATEGORIA_PD,FCREACION_PD,NME_PRODUCTO_PD,COD_GRUPO_GR,NME_GRUPO_GR,ID_PERSONA_PD,year
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000183768-601,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/01/2015,Neotropical mammal diversity and the Great American Biotic Interchange: spatial and temporal variation in South America's fossil record,COL0008512,Grupo de Geociencias,0000183768,2015
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000022042-2,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/01/2016,"Recensión a Juan Carlos Campo Moreno, Comentarios a la reforma del Código penal en materia de terrorismo: La L.O. 2/2015, Tirant lo Blanch, Valencia, 2015, 117 págs",COL0051629,"Estudios Sociales,Económicos y Jurídicos. Programa de derecho Universidad Autonoma del Caribe",0000022042,2016
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000672785-158,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,10/01/2016,Efecto del agua sobre el asfalto y su posible influencia en el daño por humedad en una mezcla asfáltica porosa,COL0069296,Modelos de simulación ICDIST,0000000000,2016
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000029025-20451,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,09/01/2011,"Molecular Phylogenetics of Aotus (Platyrrhini, Cebidae)",COL0006759,Genética de Poblaciones Molecular y Biología Evolutiva,0000029025,2011
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000468800-277,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,10/01/2011,Virulence Gene Expression in Malassezia spp from Individuals with Seborrheic Dermatitis,COL0013719,Grupo de Micología  y Fitopatologia,0000468800,2011
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000660302-102,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,01/02/2017,"Formalización empresarial hacia la construcción de estrategias empresariales, para la población vulnerable Mujeres Cabeza de Familia localizada en el Municipio de Duitama Departamento de Boyaca (Colombia)",COL0034405,CERES,0000660302,2017
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000161772-255,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/01/2014,"ESTUDIO MICROSCOPICO DE DERMATOPATIAS EN EQUINOS DE LA SABANA DE BOGOTA, COLOMBIA",COL0027643,Medicina y Sanidad Animal,0000161772,2014
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0001475773-36,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,01/05/2017,"Análisis de condiciones climatológicas de precipitaciones de corto plazo en zonas urbanas: caso de estudio Barranquilla, Colombia",COL0033945,Grupo de Investigación en Electrónica - GIECUC,0001475773,2017
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000304514-96,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,06/01/2013,New Cues in Low-Frequency of Speech for Automatic Detection of Parkinson¿s Disease,COL0010717,Sistemas Embebidos e Inteligencia Computacional - SISTEMIC,0000304514,2013
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000913243-19,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,03/01/2015,Disseminated bronchiectasis in an adult with common variable immunodeficiency,COL0019679,VIREM - Virus Emergentes y Enfermedad,0000913243,2015
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0001142453-19,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,01/01/2008,La atmosfera modificada: Una alternativa para la conservación de los alimentos,COL0037701,GRIAL,0000000000,2008
